ID	CustomerName	CustomerLName	Address	City	State	Zip	Email	Phone
1	Sebastian	Christian	7247 Theo ST	Whitakers town	NC	99076	Seba@gmail.com	7355890836
2	Stella	Aimee	299 Penelope Trk.	Test	PA	68143	AlbertoBr@gmail.com	7217382999
3	Andy	Diya	193 Naomi St.	Test	NH	40498	MichaelNa@gmail.com	9245367999
4	Aaron	Mandy	899 Maximus Ave.	Test	ID	94169	AvaHe@gmail.com	5770584999
5	Austin	Joshua	520 Sabrina Sqr.	Test	NY	82333	ShirleyCa@gmail.com	9081013999
6	Darren	Ishaan	59 Abby St.	Test	VA	62978	LilaLo@gmail.com	2837313999
11	Shalom	Penelope	2736 Yadiel ST	Sharon town	SC	02996	Shal@gmail.com	4936858561
12	Phoenix	Rayan	9466 Alexandra ST	Park County	WY	15668	Phoe@gmail.com	8156898471
13	Faith	Parker	917 Jared ST	Napa County	CA	55632	Fait@gmail.com	3911456492
14	Carter	Yael	2043 Mamadou ST	Tolleson city	AZ	92480	Cart@gmail.com	8505406078
15	Jimena	Aditya	3676 Anthony ST	Polonia township	MN	15098	Jime@gmail.com	0360804399
16	Miley	Brittany	420 Jace ST	Clinton city	IA	33348	Mile@gmail.com	9179923327
17	Arianna	Alex	8689 Giovanni ST	Bellevue village	MI	67995	Aria@gmail.com	8338028172
18	Michelle	Dereck	6529 Aarav ST	Jonesville town	VA	16246	Mich@gmail.com	5703557106
19	Raina	Jencarlos	7733 Zara ST	District of Columbia	DC	87767	Rain@gmail.com	4670658775
20	Dakota	Shaul	1702 Ibrahima ST	District of Columbia	DC	53246	Dako@gmail.com	3300670595
21	Brayden	Joshua	1926 Joyce ST	Oakwood village	MO	09403	Bray@gmail.com	4358933596
22	Elise	Mario	4751 Hunter ST	Cope town	SC	06555	Elis@gmail.com	5313841455
23	Kylie	Amalia	5701 Celine ST	Berlin town	VT	82081	Kyli@gmail.com	3007504796
24	Austin	Shalom	4176 Jack ST	Kalawao County	HI	36604	Aust@gmail.com	9092259013
25	Jacqueline	Aicha	5155 Natasha ST	Washington city	DC	64022	Jacq@gmail.com	2308068812
26	Goldy	Eden	775 Alyssa ST	Toledo city	WA	55956	Gold@gmail.com	8047427116
27	Jaden	Sarah	1471 Malky ST	Townsend town	DE	10337	Jade@gmail.com	1644692646
28	Bridget	Ava	708 Nathaniel ST	Amherst Town city	MA	12068	Brid@gmail.com	8893562447
29	Yair	Amelie	4168 Gustavo ST	Syracuse village	OH	52261	Yair@gmail.com	2541499458
30	Jennifer	Tyler	4454 Abdullah ST	Broeck Pointe city	KY	68707	Jenn@gmail.com	1801136901
31	Heaven	Tina	9135 Griffin ST	Grand Blanc city	MI	58084	Heav@gmail.com	3334123722
